,,,,,,,,,,,,,,,,,
id,"Bulding or
Factory",Division,Section,Area,PC Name,"PC Type
PC,
NB,
WS,
Other","Maker 
& Model","Serial Number
CPU","User 
owner",OS Use,License/Free,Window License ,OS License ,"MS 
Office ",Version,"Legally 
purchase
Yes,
No,
Free","Refer Document
If Yes,
Cert,
P/O,
REQ"
1,Spindle,Spindle Assembly,Production,CALL2405,BAR.-999,PC,Lenovo 10AX,-,M/M PE,Win10,Free,,Win8,"Excel,PowerPoint,Word",2013,No,
2,Spindle,Spindle Assembly,Production,Big Office,BAR.-695,PC,-,-,Production,Win10,Yes,NXR98-3WP6C-42J89-X7CFT-P7JXF,Win10,"Excel,PowerPoint,Word",2007,No,
3,Spindle,Spindle Assembly,Production,Big Office,BAR.-720,PC,-,-,Production,Win10,Yes,3N3YQ-KMW6J-WXHRG-G3B63-49CKF,Win10,-,-,-,
4,Spindle,Spindle Assembly,Production,Big Office,BAR.-846,PC,-,-,Production,Win10,Yes,W9BYY-9HNV9-FV7PB-KMJ9W-XW3GR,Win10,"Excel,PowerPoint,Word",2013,No,
5,Spindle,Spindle Assembly,Production,Big Office,BAR.-877,PC,-,-,Production,Win11,Yes,HG2KN-GK82C-9M949-7T9HR-YTDGP,Win10,"Excel,PowerPoint,Word",2013,No,
6,Spindle,Spindle Assembly,Production,Big Office,BAR.-950,PC,-,-,Production,Win10,Yes,FNBCB-26CKH-98YP4-GGD8C-3YH22,Win10,"Excel,PowerPoint,Word",2013,No,
7,Spindle,Spindle Assembly,Production,Big Office,BAR.-988,PC,-,-,Production,Win10,Yes,J99N9-CJBD7-MCY33-446Y7-WK8XF,Win10,"Excel,PowerPoint,Word",2013,No,
8,Spindle,Spindle Assembly,Production,Big Office,BAR.-010,PC,-,-,Production,Win10,Yes,DVNBF-7GTF2-TDV7C-JVK4Y-7MH24,Win10,"Excel,PowerPoint,Word",2013,No,
9,Spindle,Spindle Assembly,Production,Big Office,BAR.-817,PC,Asus,-,Production,Win10,Yes,CNCPK-HMJ9B-QVC49-XPTRV-G6PKF,Win10,-,-,-,
10,Spindle,Spindle Assembly,Production,Big Office,BAR.-115,PC,-,-,Production,Win11,Yes,STAFM11,Win11,-,-,-,
11,Spindle,Spindle Assembly,Production,Big Office,BAR.-088,PC,-,-,M/M PE,Win10,Yes,2PJDN-DGVDM-J27HY-FF2RF-K4TGC,Win10,-,-,-,
12,Spindle,Spindle Assembly,Production,Big Office,BAR.-151,PC,-,-,Production,Win10,Yes,2NDKW-3XTQM-TB4DF-4QPXD-YBH24,Win10,-,-,-,
13,Spindle,Spindle Assembly,M/M PE,Big Office,BAR.-870,PC,-,-,M/M PE,Win10,Free,,Win10,"Excel,PowerPoint,Word",2013,No,
14,Spindle,Spindle Assembly,M/M PE,Big Office,BAR.-918,PC,-,-,M/M PE,Win10,Yes,TKXHY-JG48W-3CVQC-CCB8C-4BQYG,Win10,"Excel,PowerPoint,Word",2013,No,
15,Spindle,Spindle Assembly,QC,IQC,BAR.-165,PC,HP600G5,-,QC,Win10,Free,,Win10,-,-,-,
16,Spindle,Spindle Assembly,QC,IQC,BAR.-237,PC,-,-,QC,Win10,Yes,JBNKX-MKMQK-J2GXG-K8P7C-8XCKF,Win10,"Excel,PowerPoint,Word",2013,No,
17,Spindle,Spindle Assembly,QC,IQC,BAR.-850,PC,Dell 780,-,QC,Win10,Free,H4YN2-8MKG2-Q8V2Q-8JC9V-2R4C2,Win10,"Excel,PowerPoint,Word",2010,No,
18,Spindle,Spindle Assembly,QC,IQC,BAR.-194,PC,-,-,QC,Win10,Free,JYNPH-C8DF6-DTBWT-BRFD3-H22KF,Win10,"Excel,PowerPoint,Word",2010,No,
